hour,close,log_return_pct,funding_rate,premium
2025-10-09 20:00:00+00:00,43.843,0.6521687627006961,1.25e-05,0.0003985504
2025-10-09 21:00:00+00:00,44.114,0.6162121434972271,1.25e-05,0.0004495289
2025-10-09 22:00:00+00:00,44.257,0.32363586428885216,1.25e-05,0.000530758
2025-10-09 23:00:00+00:00,43.976,-0.6369520474925383,1.25e-05,0.0004663363
2025-10-10 00:00:00+00:00,44.113,0.3110493034502373,1.25e-05,0.0002169752
2025-10-10 01:00:00+00:00,44.276,0.36882459305159515,1.25e-05,0.000220201
2025-10-10 02:00:00+00:00,44.152,-0.2804543386177468,1.25e-05,0.0002251433
2025-10-10 03:00:00+00:00,44.211,0.13354007620353475,1.25e-05,0.0003440776
2025-10-10 04:00:00+00:00,43.725,-1.1053605994569742,1.25e-05,0.0001850421
2025-10-10 05:00:00+00:00,43.923,0.4518079974789136,1.25e-05,1.556e-05
2025-10-10 06:00:00+00:00,43.96,0.08420286559657741,1.25e-05,-3.39728e-05
2025-10-10 07:00:00+00:00,43.69,-0.6160886572076142,1.25e-05,8.07147e-05
2025-10-10 08:00:00+00:00,44.316,1.4226542695082118,1.25e-05,-0.0001582966
2025-10-10 09:00:00+00:00,44.358,0.09472901445914372,1.25e-05,4.28839e-05
2025-10-10 10:00:00+00:00,44.592,0.5261394936574372,1.25e-05,-0.0002510617
2025-10-10 11:00:00+00:00,44.745,0.34252358952290035,1.25e-05,-4.1553e-05
2025-10-10 12:00:00+00:00,44.722,-0.05141560688674404,1.25e-05,2.7237e-05
2025-10-10 13:00:00+00:00,45.109,0.8616232574940565,1.25e-05,8.874e-05
2025-10-10 14:00:00+00:00,44.312,-1.7826262410092024,1.25e-05,0.0001559233
2025-10-10 15:00:00+00:00,42.606,-3.926043230279112,1.25e-05,0.000180692
2025-10-10 16:00:00+00:00,42.68,0.17353380055409032,1.25e-05,4.7265e-05
2025-10-10 17:00:00+00:00,42.85,0.3975218610236205,1.25e-05,0.0001548177
2025-10-10 18:00:00+00:00,42.393,-1.0722390775069999,1.25e-05,-1.56109e-05
2025-10-10 19:00:00+00:00,42.876,1.13289745605541,1.25e-05,-8.80214e-05
2025-10-10 20:00:00+00:00,40.722,-5.154374187959671,1.25e-05,0.0003624538
2025-10-10 21:00:00+00:00,40.586,-0.33453073948993617,1.25e-05,0.0005980525
2025-10-10 22:00:00+00:00,39.228,-3.4032402024703123,-0.0018662432,-0.0154299456
2025-10-10 23:00:00+00:00,37.366,-4.8629577492428275,-0.0001408386,-0.0016267088
2025-10-11 00:00:00+00:00,38.616,3.290549832054613,1.25e-05,8.68828e-05
