hour,close,log_return_pct,funding_rate,premium
2022-01-01 01:00:00+00:00,172.77,0.21438719570979087,1.25e-05,0.0001
2022-01-01 02:00:00+00:00,172.76,-0.005788209419039506,1.25e-05,0.0001
2022-01-01 03:00:00+00:00,172.93,0.09835402453305508,1.25e-05,0.0001
2022-01-01 04:00:00+00:00,171.47,-0.8478564147070891,1.25e-05,0.0001
2022-01-01 05:00:00+00:00,173.22,1.0154138712138747,1.25e-05,0.0001
2022-01-01 06:00:00+00:00,172.46,-0.43971373787203266,1.25e-05,0.0001
2022-01-01 07:00:00+00:00,173.16,0.4050697049601437,1.25e-05,0.0001
2022-01-01 08:00:00+00:00,172.93,-0.1329134235948965,1.25e-05,0.0001
2022-01-01 09:00:00+00:00,172.77,-0.09256581511401263,1.25e-05,0.0001
2022-01-01 10:00:00+00:00,171.92,-0.4931977852435862,1.25e-05,0.0001
2022-01-01 11:00:00+00:00,171.58,-0.1979622189435719,1.25e-05,0.0001
2022-01-01 12:00:00+00:00,172.73,0.6680051560373788,1.25e-05,0.0001
2022-01-01 13:00:00+00:00,172.64,-0.05211801953685257,1.25e-05,0.0001
2022-01-01 14:00:00+00:00,172.54,-0.0579407861391773,1.25e-05,0.0001
2022-01-01 15:00:00+00:00,173.79,0.7218580128209725,1.25e-05,0.0001
2022-01-01 16:00:00+00:00,173.67,-0.06907270176195318,1.25e-05,0.0001
2022-01-01 17:00:00+00:00,175.06,0.7971825545269042,1.25e-05,0.0001
2022-01-01 18:00:00+00:00,175.45,0.22253297249321455,1.25e-05,0.0001
2022-01-01 19:00:00+00:00,177.31,1.0545511039673159,1.25e-05,0.0001
2022-01-01 20:00:00+00:00,177.68,0.2084566517274772,1.25e-05,0.0001
2022-01-01 21:00:00+00:00,176.35,-0.7513522904111057,1.25e-05,0.0001
2022-01-01 22:00:00+00:00,177.27,0.5203337343631964,1.25e-05,0.0001
2022-01-01 23:00:00+00:00,179.05,0.9991102418748845,1.25e-05,0.0001
2022-01-02 00:00:00+00:00,178.49,-0.3132519203025338,1.25e-05,0.0001
2022-01-02 01:00:00+00:00,177.88,-0.3423411598920786,1.25e-05,0.0001
2022-01-02 02:00:00+00:00,178.3,0.23583592265992154,1.25e-05,0.0001
2022-01-02 03:00:00+00:00,177.67,-0.35396278212802457,1.25e-05,0.0001
2022-01-02 04:00:00+00:00,175.93,-0.9841708396859784,1.25e-05,0.0001
2022-01-02 05:00:00+00:00,176.6,0.3801099518904881,1.25e-05,0.0001
2022-01-02 06:00:00+00:00,175.82,-0.4426543746827085,1.25e-05,0.0001
2022-01-02 07:00:00+00:00,175.85,0.017061449695885245,1.25e-05,0.0001
2022-01-02 08:00:00+00:00,175.13,-0.4102803635418402,1.25e-05,0.0001
2022-01-02 09:00:00+00:00,175.75,0.353397540620134,1.25e-05,0.0001
2022-01-02 10:00:00+00:00,175.31,-0.2506695324991465,1.25e-05,0.0001
2022-01-02 11:00:00+00:00,175.6,0.1652845835233403,1.25e-05,0.0001
2022-01-02 12:00:00+00:00,175.9,0.17069705424963377,1.25e-05,0.0001
2022-01-02 13:00:00+00:00,175.92,0.01136945029930625,1.25e-05,0.0001
2022-01-02 14:00:00+00:00,175.34,-0.3302400086066178,1.25e-05,0.0001
2022-01-02 15:00:00+00:00,176.19,0.48360120420982966,1.25e-05,0.0001
2022-01-02 16:00:00+00:00,177.92,0.9771052859679736,1.25e-05,0.0001
2022-01-02 17:00:00+00:00,177.72,-0.11247329945097401,1.25e-05,0.0001
2022-01-02 18:00:00+00:00,175.8,-1.0862292816631007,1.25e-05,0.0001
2022-01-02 19:00:00+00:00,175.33,-0.26770727690396223,1.25e-05,0.0001
2022-01-02 20:00:00+00:00,175.69,0.20511658949256753,1.25e-05,0.0001
2022-01-02 21:00:00+00:00,175.66,-0.017076988799144835,1.25e-05,0.0001
2022-01-02 22:00:00+00:00,176.87,0.6864690957731008,1.25e-05,0.0001
2022-01-02 23:00:00+00:00,176.29,-0.3284633149050297,1.25e-05,0.0001
2022-01-03 00:00:00+00:00,175.31,-0.5574530931869238,1.25e-05,0.0001
2022-01-03 01:00:00+00:00,174.8,-0.29133721443476174,1.25e-05,0.0001
2022-01-03 02:00:00+00:00,173.5,-0.7464863834521319,1.25e-05,0.0001
2022-01-03 03:00:00+00:00,172.82,-0.3927008973660725,1.25e-05,0.0001
2022-01-03 04:00:00+00:00,172.17,-0.37682296248723146,1.25e-05,0.0001
2022-01-03 05:00:00+00:00,173.5,0.7695238598532984,1.25e-05,0.0001
2022-01-03 06:00:00+00:00,173.17,-0.19038284228544322,1.25e-05,0.0001
2022-01-03 07:00:00+00:00,173.18,0.005774505559569339,1.25e-05,0.0001
2022-01-03 08:00:00+00:00,173.05,-0.0750945938301892,1.25e-05,0.0001
2022-01-03 09:00:00+00:00,173.29,0.13859215708006464,1.25e-05,0.0001
2022-01-03 10:00:00+00:00,174.05,0.43761226052940916,1.25e-05,0.0001
2022-01-03 11:00:00+00:00,174.78,0.41854259419501944,1.25e-05,0.0001
2022-01-03 12:00:00+00:00,174.01,-0.44152713719113135,1.25e-05,0.0001
2022-01-03 13:00:00+00:00,174.71,0.4014687658866276,1.25e-05,0.0001
2022-01-03 14:00:00+00:00,173.91,-0.45895324666020004,1.25e-05,0.0001
2022-01-03 15:00:00+00:00,171.02,-1.6757415291941837,1.25e-05,0.0001
2022-01-03 16:00:00+00:00,170.26,-0.44538282718984007,1.25e-05,0.0001
2022-01-03 17:00:00+00:00,170.68,0.2463777863888212,1.25e-05,0.0001
2022-01-03 18:00:00+00:00,170.72,0.023432923364405753,1.25e-05,0.0001
2022-01-03 19:00:00+00:00,170.0,-0.42263505031814663,1.25e-05,0.0001
2022-01-03 20:00:00+00:00,168.49,-0.8922036199967858,1.25e-05,0.0001
2022-01-03 21:00:00+00:00,168.99,0.29631407244384955,1.25e-05,0.0001
2022-01-03 22:00:00+00:00,170.12,0.6664528810700389,1.25e-05,0.0001
2022-01-03 23:00:00+00:00,170.18,0.03526300359783923,1.25e-05,0.0001
2022-01-04 00:00:00+00:00,168.45,-1.0217730568849517,1.25e-05,0.0001
2022-01-04 01:00:00+00:00,167.89,-0.33299668042551195,1.25e-05,0.0001
2022-01-04 02:00:00+00:00,167.68,-0.12516019156292277,1.25e-05,0.0001
2022-01-04 03:00:00+00:00,167.84,0.09537435153096349,1.25e-05,0.0001
2022-01-04 04:00:00+00:00,166.81,-0.6155704482022959,1.25e-05,0.0001
2022-01-04 05:00:00+00:00,167.54,0.43666885596993177,1.25e-05,0.0001
2022-01-04 06:00:00+00:00,168.0,0.2741850677595596,1.25e-05,0.0001
2022-01-04 07:00:00+00:00,169.06,0.628970209752275,1.25e-05,0.0001
2022-01-04 08:00:00+00:00,168.7,-0.21316919488591066,1.25e-05,0.0001
2022-01-04 09:00:00+00:00,167.83,-0.5170427231834619,1.25e-05,0.0001
2022-01-04 10:00:00+00:00,169.89,1.2199606473735398,1.25e-05,0.0001
2022-01-04 11:00:00+00:00,171.61,1.0073291620388625,1.25e-05,0.0001
2022-01-04 12:00:00+00:00,171.68,0.04078184681765547,1.25e-05,0.0001
