hour,close,log_return_pct,funding_rate,premium
2022-01-01 01:00:00+00:00,46766.78,0.24999801602416832,1.25e-05,0.0001
2022-01-01 02:00:00+00:00,46796.14,0.06275990737291212,1.25e-05,0.0001
2022-01-01 03:00:00+00:00,46789.56,-0.01406197744067078,1.25e-05,0.0001
2022-01-01 04:00:00+00:00,46690.81,-0.21127438141808672,1.25e-05,0.0001
2022-01-01 05:00:00+00:00,47184.18,1.0511309617150673,1.25e-05,0.0001
2022-01-01 06:00:00+00:00,46972.19,-0.450294246052574,1.25e-05,0.0001
2022-01-01 07:00:00+00:00,47186.83,0.45591037753340097,1.25e-05,0.0001
2022-01-01 08:00:00+00:00,47117.84,-0.1463130347787377,1.25e-05,0.0001
2022-01-01 09:00:00+00:00,47137.37,0.04144068063612369,1.25e-05,0.0001
2022-01-01 10:00:00+00:00,46864.09,-0.5814394157319177,1.25e-05,0.0001
2022-01-01 11:00:00+00:00,46755.01,-0.23302947659436352,1.25e-05,0.0001
2022-01-01 12:00:00+00:00,47062.37,0.6552327503845108,1.25e-05,0.0001
2022-01-01 13:00:00+00:00,47005.55,-0.12080634271564253,1.25e-05,0.0001
2022-01-01 14:00:00+00:00,46909.2,-0.20518615830610049,1.25e-05,0.0001
2022-01-01 15:00:00+00:00,47194.78,0.6069474993406192,1.25e-05,0.0001
2022-01-01 16:00:00+00:00,47249.99,0.11691490442281116,1.25e-05,0.0001
2022-01-01 17:00:00+00:00,47733.16,1.0173892267408535,1.25e-05,0.0001
2022-01-01 18:00:00+00:00,47546.74,-0.39131073369770136,1.25e-05,0.0001
2022-01-01 19:00:00+00:00,47326.98,-0.46326926579395145,1.25e-05,0.0001
2022-01-01 20:00:00+00:00,47385.22,0.12298311588284003,1.25e-05,0.0001
2022-01-01 21:00:00+00:00,47322.2,-0.13308357318012384,1.25e-05,0.0001
2022-01-01 22:00:00+00:00,47428.16,0.22366151257179304,1.25e-05,0.0001
2022-01-01 23:00:00+00:00,47704.35,0.5806443580085925,1.25e-05,0.0001
2022-01-02 00:00:00+00:00,47622.14,-0.17248095546370412,1.25e-05,0.0001
2022-01-02 01:00:00+00:00,47381.21,-0.507204254388554,1.25e-05,0.0001
2022-01-02 02:00:00+00:00,47374.28,-0.014627120839871445,1.25e-05,0.0001
2022-01-02 03:00:00+00:00,47330.75,-0.09192754189610186,1.25e-05,0.0001
2022-01-02 04:00:00+00:00,46902.11,-0.9097526199695406,1.25e-05,0.0001
2022-01-02 05:00:00+00:00,47077.7,0.3736764403322848,1.25e-05,0.0001
2022-01-02 06:00:00+00:00,47122.49,0.0950953567616928,1.25e-05,0.0001
2022-01-02 07:00:00+00:00,47171.04,0.10297632147244186,1.25e-05,0.0001
2022-01-02 08:00:00+00:00,47211.36,0.08543966343890937,1.25e-05,0.0001
2022-01-02 09:00:00+00:00,47263.18,0.10970152423471911,1.25e-05,0.0001
2022-01-02 10:00:00+00:00,47175.95,-0.1847328004968096,1.25e-05,0.0001
2022-01-02 11:00:00+00:00,47231.3,0.11725795707836406,1.25e-05,0.0001
2022-01-02 12:00:00+00:00,47279.57,0.10214698943533809,1.25e-05,0.0001
2022-01-02 13:00:00+00:00,47133.07,-0.3103400510346883,1.25e-05,0.0001
2022-01-02 14:00:00+00:00,47110.2,-0.04853397054013101,1.25e-05,0.0001
2022-01-02 15:00:00+00:00,47329.68,0.4648044769706961,1.25e-05,0.0001
