coin,window,is_start,is_end,oos_start,oos_end,best_threshold,is_sharpe,is_total_ret,is_win_rate,is_n,oos_n,oos_sharpe,oos_win_rate,oos_total_ret,oos_gross_ret,oos_fund_pnl,oos_max_dd,oos_p_value,oos_long_net,oos_short_net,oos_long_sharpe,oos_short_sharpe
APT,3,2022-08-29 00:00:00+00:00,2022-12-27 00:00:00+00:00,2022-12-27 00:00:00+00:00,2023-02-25 00:00:00+00:00,0.02,5.496859988862906,29.081691205291847,0.5210727969348659,261,64,3.2417835282158918,0.53125,5.493549808583975,6.480380808583982,0.7411690000000001,-0.19661387040637687,0.7826176281877358,16.172977416392577,-10.679427607808604,19.12769326661996,-12.749735058039938
APT,4,2022-12-27 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-06-25 00:00:00+00:00,0.03,1.5763416642488894,5.944050155897238,0.5113636363636364,176,559,7.180353193275841,0.4919499105545617,48.601209333807745,62.96601033380775,0.728199,-0.19838488443562158,0.07023892008214405,6.19150018644252,42.409709147365234,8.038487440810956,7.099329802906428
APT,5,2023-04-26 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-10-23 00:00:00+00:00,0.02,5.492946742999838,67.84138051547293,0.4950576606260296,1214,64,24.47672402836802,0.5625,15.386574428639058,16.45327042863906,0.661304,-0.027478022759552245,0.040461204548274225,6.274964255028884,9.111610173610174,16.549160333813564,38.32472240777237
APT,6,2023-08-24 00:00:00+00:00,2023-12-22 00:00:00+00:00,2023-12-22 00:00:00+00:00,2024-02-20 00:00:00+00:00,0.1,2.9770442402693096,18.580175413120667,0.49140893470790376,582,1118,-3.6329048959998067,0.4731663685152057,-45.68997425051977,-15.48394212551976,-0.020032124999999956,-0.4985049223928241,0.19460848868993902,-25.348840010652367,-20.341134239867404,-2.392626224511074,-10.388604660868934
APT,7,2023-12-22 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-06-19 00:00:00+00:00,0.02,3.5425206874319315,8.801579390769675,0.4881889763779528,127,63,-2.8542356069957187,0.4444444444444444,-3.177754607105033,-1.6287711071050373,0.1520165,-0.12633247836838069,0.8095390019558377,-11.100905721849978,7.923151114744943,-18.337432290218135,16.175745656488324
APT,8,2024-04-20 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-10-17 00:00:00+00:00,0.02,5.65345841548004,10.411385447854116,0.4453125,128,870,-9.241519309804895,0.46436781609195404,-86.58438417441897,-64.25225917441897,1.1578749999999998,-0.9351413670823636,0.003678460533256039,-3.1892243556799826,-83.39515981873899,-13.934500682049078,-9.141485425493684
APT,9,2024-08-18 00:00:00+00:00,2024-12-16 00:00:00+00:00,2024-12-16 00:00:00+00:00,2025-02-14 00:00:00+00:00,0.07,6.774886845738275,39.56481018165966,0.5288461538461539,416,927,1.8424307580510708,0.4994606256742179,20.237977057644894,43.810869057644915,1.456108,-0.39779594026160026,0.5490875176252424,8.567969893695697,11.670007163949208,6.338435427556366,1.211710651631157
APT,10,2024-12-16 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-06-14 00:00:00+00:00,0.07,3.4563094685332847,49.23559999570805,0.511608623548922,1206,463,1.3178206586820527,0.4946004319654428,5.824048020967693,17.680864020967697,0.644184,-0.224352445818081,0.7620516832918024,9.231340253196942,-3.4072922322292505,11.3331890837071,-0.9506130710776342
APT,11,2025-04-15 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-10-12 00:00:00+00:00,0.1,0.750880227076349,8.53128852968744,0.49216589861751153,1085,678,1.3709637644875283,0.47640117994100295,8.37636365011111,24.432647775111118,2.2497158749999997,-0.1580539119995431,0.7030208655514978,4.288014740410386,4.0883489097007235,1.9917869231248424,1.1407675646712432
APT,12,2025-08-13 00:00:00+00:00,2025-12-11 00:00:00+00:00,2025-12-11 00:00:00+00:00,2026-02-09 00:00:00+00:00,0.1,1.9595177420345526,17.43386246201386,0.47815533980582525,824,295,-9.940909586123983,0.4915254237288136,-27.301310458085588,-20.125708333085587,0.789397875,-0.3668074342247339,0.0691287579328728,-15.609681051078509,-11.691629407007074,-11.09230181804556,-8.70194713040889
