hour,premium,signal,raw_ret,fund_pnl,net_ret,threshold
2026-02-26 00:00:00+00:00,0.0001,-1,-0.13928964544344954,0.00125,-0.16503964544344954,0.03
2026-02-26 01:00:00+00:00,0.0001,-1,-0.7626442154190184,0.00125,-0.7883942154190184,0.03
2026-02-26 02:00:00+00:00,0.0001,-1,0.5937672071216619,0.00125,0.5680172071216618,0.03
2026-02-26 03:00:00+00:00,0.0001,-1,-0.34679251996333355,0.00125,-0.3725425199633336,0.03
2026-02-26 04:00:00+00:00,0.0001,-1,0.9540919124626929,0.00125,0.9283419124626928,0.03
2026-02-26 05:00:00+00:00,0.0001,-1,0.1799100935047227,0.00125,0.1541600935047227,0.03
2026-02-26 06:00:00+00:00,0.0001,-1,0.4411476975882272,0.00125,0.41539769758822714,0.03
2026-02-26 07:00:00+00:00,0.0001,-1,-0.01004772671028336,0.00125,-0.03579772671028336,0.03
2026-03-03 16:00:00+00:00,-0.00016651,1,-0.8402481718470673,0.0021831249999999997,-0.8650650468470674,0.03
2026-03-03 17:00:00+00:00,-0.00016651,1,-0.3893436143643936,0.0021831249999999997,-0.4141604893643936,0.03
2026-03-03 18:00:00+00:00,-0.00016651,1,-0.4244393728034891,0.0021831249999999997,-0.4492562478034891,0.03
2026-03-03 19:00:00+00:00,-0.00016651,1,-0.32513061883019245,0.0021831249999999997,-0.34994749383019247,0.03
2026-03-03 20:00:00+00:00,-0.00016651,1,0.3027417236286327,0.0021831249999999997,0.2779248486286327,0.03
2026-03-03 21:00:00+00:00,-0.00016651,1,0.8916688592086669,0.0021831249999999997,0.8668519842086668,0.03
2026-03-03 22:00:00+00:00,-0.00016651,1,-0.23329455673622035,0.0021831249999999997,-0.25811143173622036,0.03
2026-03-03 23:00:00+00:00,-0.00016651,1,-0.1446936642895514,0.0021831249999999997,-0.1695105392895514,0.03
2026-03-04 00:00:00+00:00,-0.00016651,1,0.06680770764017449,0.002305375,0.04211308264017449,0.03
2026-03-04 01:00:00+00:00,-0.00016651,1,0.055639015512009324,0.002305375,0.030944390512009323,0.03
