coin,window,is_start,is_end,oos_start,oos_end,best_threshold,is_sharpe,is_total_ret,is_win_rate,is_n,oos_n,oos_sharpe,oos_win_rate,oos_total_ret,oos_gross_ret,oos_fund_pnl,oos_max_dd,oos_p_value,oos_long_net,oos_short_net,oos_long_sharpe,oos_short_sharpe
LDO,3,2022-08-29 00:00:00+00:00,2022-12-27 00:00:00+00:00,2022-12-27 00:00:00+00:00,2023-02-25 00:00:00+00:00,0.03,3.9003987016760697,57.674606060034506,0.5136157337367625,1322,96,15.404609690866886,0.6145833333333334,41.804780624699816,41.71561862469982,2.681161999999999,-0.14302880154662911,0.11014255271501157,30.14751630568077,11.657264319019047,20.26660784064054,9.553974208353619
LDO,4,2022-12-27 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-06-25 00:00:00+00:00,0.03,15.652954717116835,57.81426445638089,0.5625,176,806,0.36650841961824715,0.511166253101737,3.1943528257824942,23.8730078257825,1.083345,-0.314508209706822,0.911506853678624,3.6167657558073207,-0.4224129300248203,7.251095270506874,-0.05138802068627989
LDO,5,2023-04-26 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-10-23 00:00:00+00:00,0.1,1.2113086462881357,24.729854513790414,0.5,2030,974,-3.3791615660250955,0.49075975359342916,-20.614614879336493,4.5979001206635175,1.0854849999999998,-0.3152323094788617,0.2601163303964818,4.1777338573325995,-24.7923487366691,4.209421782489417,-4.858953852894758
LDO,6,2023-08-24 00:00:00+00:00,2023-12-22 00:00:00+00:00,2023-12-22 00:00:00+00:00,2024-02-20 00:00:00+00:00,0.1,6.058640804637596,40.591299007692506,0.516295025728988,583,1095,-2.3567543824557973,0.46757990867579907,-35.786623391191775,-6.227647391191779,0.006023999999999918,-0.5854208606346669,0.40489210560966027,-34.70089315719548,-1.0857302339962764,-2.653806199352239,-0.5140245174993731
LDO,7,2023-12-22 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-06-19 00:00:00+00:00,0.02,9.340374190659908,18.319591025011107,0.515625,128,64,-0.6241724037943187,0.53125,-0.5287293289544008,1.0941816710455958,0.10508899999999999,-0.08044531585084741,0.957621069802577,-4.243717335111345,3.7149880061569442,-9.311317306199099,9.49389188312083
LDO,8,2024-04-20 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-10-17 00:00:00+00:00,0.02,0.5086857853373433,0.5943736934950046,0.5546875,128,910,-1.5948953627054745,0.46263736263736266,-16.473472830843203,6.955217169156807,1.1413099999999998,-0.38090744955042505,0.6073457157320972,-1.7133897434595386,-14.760083087383666,-3.757167469386322,-1.4955792185517733
LDO,9,2024-08-18 00:00:00+00:00,2024-12-16 00:00:00+00:00,2024-12-16 00:00:00+00:00,2025-02-14 00:00:00+00:00,0.05,5.318528656530277,23.160712938174058,0.5,288,1135,0.4713490583693167,0.5110132158590308,8.755578369571417,38.036515369571426,1.3640629999999998,-0.6901657442352362,0.8653050108238799,-2.751537783821159,11.507116153392573,-2.190229268540876,0.6641823403412073
LDO,10,2024-12-16 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-06-14 00:00:00+00:00,0.03,0.8055741157807027,19.294033529802103,0.5134627426424546,1597,807,-2.209413029330023,0.4882280049566295,-23.893918198380618,-3.1692931983806147,1.0643749999999998,-0.5929964841353713,0.5026693788488201,-1.870153123067653,-22.023765075312962,-3.204269030008578,-2.15210684024277
LDO,11,2025-04-15 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-10-12 00:00:00+00:00,0.03,-5.231007639858192,-120.77120601416527,0.48770726129216696,1749,727,3.283292941031638,0.49793672627235214,35.57045993460391,54.25263393460391,0.9468259999999998,-0.26258453198261816,0.34453699213778366,11.770883452425961,23.79957648217796,13.755431193779016,2.388083947517366
LDO,12,2025-08-13 00:00:00+00:00,2025-12-11 00:00:00+00:00,2025-12-11 00:00:00+00:00,2026-02-09 00:00:00+00:00,0.03,4.04843427782329,54.89936517936904,0.5031578947368421,950,215,-0.7593603557463112,0.4744186046511628,-1.360519619279752,4.176883380720248,0.267597,-0.11003859432147839,0.9054155744890028,2.538966905008844,-3.899486524288598,5.952124335849101,-2.8523577233657926
