coin,window,is_start,is_end,oos_start,oos_end,best_threshold,is_sharpe,is_total_ret,is_win_rate,is_n,oos_n,oos_sharpe,oos_win_rate,oos_total_ret,oos_gross_ret,oos_fund_pnl,oos_max_dd,oos_p_value,oos_long_net,oos_short_net,oos_long_sharpe,oos_short_sharpe
UNI,1,2022-01-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,0.02,1.517030871070654,41.01186360653073,0.48366567670767924,2357,504,4.097857012736555,0.5218253968253969,34.57945825251427,47.45579025251426,0.7316680000000001,-0.3630929969255637,0.32611729974853804,23.324921812255077,11.25453644025919,27.804961460602467,1.5064576765569648
UNI,2,2022-05-01 00:00:00+00:00,2022-08-29 00:00:00+00:00,2022-08-29 00:00:00+00:00,2022-10-28 00:00:00+00:00,0.07,0.4894821388740112,10.992737990024661,0.497364953886693,1518,694,0.30139510125391245,0.5144092219020173,1.8829807145313886,19.682426714531395,0.9385539999999999,-0.2796799275896358,0.9324188070377243,-2.562050379621006,4.4450310941523945,-2.494472179143863,0.851547211228848
UNI,3,2022-08-29 00:00:00+00:00,2022-12-27 00:00:00+00:00,2022-12-27 00:00:00+00:00,2023-02-25 00:00:00+00:00,0.02,0.6649073322529032,9.973931672452416,0.5076615589606929,1501,1301,-4.0218106883533,0.45887778631821674,-44.730718004658826,-11.207118004658803,1.6033999999999997,-0.5637739529898874,0.12140502551845958,-0.12408883436374785,-44.60662917029508,-0.622147428251004,-4.086928240172553
UNI,4,2022-12-27 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-06-25 00:00:00+00:00,0.02,-1.573516976018096,-32.051416267639965,0.4695222405271829,2428,880,1.6352913061546672,0.4681818181818182,11.491245514828792,34.12682851482881,1.1244169999999998,-0.13609901705570956,0.6043767443673613,-4.5018398254321825,15.99308534026098,-9.44401868332122,2.477561718808081
UNI,5,2023-04-26 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-10-23 00:00:00+00:00,0.05,-0.37396253448840727,-5.677883860245549,0.4750386001029336,1943,391,-7.849304105559673,0.4398976982097187,-15.590521377964253,-5.579659377964248,0.546138,-0.19673170179731334,0.09805757390571518,-5.334679712033296,-10.255841665930959,-17.482877577667786,-6.1195826827853015
UNI,6,2023-08-24 00:00:00+00:00,2023-12-22 00:00:00+00:00,2023-12-22 00:00:00+00:00,2024-02-20 00:00:00+00:00,0.1,-0.5607962534328347,-2.6246254845483428,0.46048109965635736,582,1183,-1.208579707462517,0.5046491969568893,-12.731416478260044,19.53790052173994,-0.3283170000000001,-0.33602601205283794,0.6570258236517007,-18.168108797816615,5.436692319556567,-2.208636186125973,2.668900069389277
UNI,7,2023-12-22 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-06-19 00:00:00+00:00,0.02,3.2263523126321223,8.34647883037033,0.453125,128,64,17.11316151776027,0.578125,12.127234598763634,13.759424598763635,0.09581,-0.057009178542736336,0.14850873570906162,2.9743347025996743,9.152899896163962,8.808066580365141,24.56210237648997
UNI,8,2024-04-20 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-10-17 00:00:00+00:00,0.03,3.8088309347224865,6.760197899643133,0.48863636363636365,176,551,1.9512201432578753,0.47005444646098005,10.252723695948918,24.425208695948932,0.704515,-0.2012785371449253,0.6247807161270471,1.2864153943894898,8.966308301559433,2.2828419807677975,1.9140564133369005
UNI,9,2024-08-18 00:00:00+00:00,2024-12-16 00:00:00+00:00,2024-12-16 00:00:00+00:00,2025-02-14 00:00:00+00:00,0.07,-0.03052341654851306,-0.19048940870409403,0.4855769230769231,416,927,2.1989441935966436,0.5145631067961165,26.771742170186258,50.643393170186265,1.157349,-0.4184848715211281,0.47458996493957173,-2.8924303628105594,29.664172532996822,-1.837199964416343,2.801380481103833
UNI,10,2024-12-16 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-06-14 00:00:00+00:00,0.03,4.579617456407362,64.01431846141833,0.5230202578268877,1086,703,-5.401345926551406,0.4793741109530583,-48.39687011119589,-30.305994111195897,0.8901239999999999,-0.6301089149015695,0.12643566043745588,2.4010197665332336,-50.79788987772912,7.151990305815149,-5.935382855744643
UNI,11,2025-04-15 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-10-12 00:00:00+00:00,0.1,-3.9881386133717065,-94.49766023822305,0.4918864097363083,1972,951,1.8259502347286716,0.48475289169295477,21.177360102417808,45.825754102417804,1.028606,-0.35765422410442893,0.5475661538958945,-21.030816707138435,42.20817680955625,-17.932042554393757,4.109295522343788
UNI,12,2025-08-13 00:00:00+00:00,2025-12-11 00:00:00+00:00,2025-12-11 00:00:00+00:00,2026-02-09 00:00:00+00:00,0.03,4.607795249083431,65.4183843042324,0.5088809946714032,1126,359,1.052717739896,0.5153203342618384,3.5941988384741723,12.812723838474177,0.4744749999999999,-0.18582058497921633,0.8313612119041368,4.200932623057104,-0.6067337845829286,11.023624613742781,-0.2004000034296483
