hour,premium,signal,raw_ret,fund_pnl,net_ret,threshold,window
2022-05-04 16:00:00+00:00,0.0001,-1,-0.20529672576943417,0.00125,-0.23104672576943416,0.03,1
2022-05-04 17:00:00+00:00,0.0001,-1,-4.019833823311602,0.00125,-4.045583823311603,0.03,1
2022-05-04 18:00:00+00:00,0.0001,-1,-1.0192169766227812,0.00125,-1.0449669766227812,0.03,1
2022-05-04 19:00:00+00:00,0.0001,-1,-1.355821660092974,0.00125,-1.381571660092974,0.03,1
2022-05-04 20:00:00+00:00,0.0001,-1,-1.2617257803717619,0.00125,-1.2874757803717618,0.03,1
2022-05-04 21:00:00+00:00,0.0001,-1,0.5715389915062009,0.00125,0.5457889915062009,0.03,1
2022-05-04 22:00:00+00:00,0.0001,-1,0.844210693015675,0.00125,0.8184606930156749,0.03,1
2022-05-04 23:00:00+00:00,0.0001,-1,-0.5380489536739379,0.00125,-0.563798953673938,0.03,1
2022-05-05 00:00:00+00:00,0.0001,-1,-0.6494769726012942,0.00125,-0.6752269726012943,0.03,1
2022-05-05 01:00:00+00:00,0.0001,-1,0.38153422856521196,0.00125,0.3557842285652119,0.03,1
2022-05-05 02:00:00+00:00,0.0001,-1,0.19131438779604157,0.00125,0.16556438779604157,0.03,1
2022-05-05 03:00:00+00:00,0.0001,-1,-0.3441028056013757,0.00125,-0.36985280560137573,0.03,1
2022-05-05 04:00:00+00:00,0.0001,-1,0.8047562113652197,0.00125,0.7790062113652196,0.03,1
2022-05-05 05:00:00+00:00,0.0001,-1,-1.2617257803717619,0.00125,-1.2874757803717618,0.03,1
2022-05-05 06:00:00+00:00,0.0001,-1,1.146363337275733,0.00125,1.120613337275733,0.03,1
2022-05-05 07:00:00+00:00,0.0001,-1,0.6168099740647773,0.00125,0.5910599740647773,0.03,1
2022-05-05 08:00:00+00:00,0.0001,-1,-0.9621009367326141,0.00125,-0.9878509367326141,0.03,1
2022-05-05 09:00:00+00:00,0.0001,-1,0.038306838238989546,0.00125,0.012556838238989548,0.03,1
2022-05-05 10:00:00+00:00,0.0001,-1,0.11500863832372185,0.00125,0.08925863832372186,0.03,1
2022-05-05 11:00:00+00:00,0.0001,-1,-0.30639625655215486,0.00125,-0.3321462565521549,0.03,1
2022-05-05 12:00:00+00:00,0.0001,-1,1.4638165846658262,0.00125,1.4380665846658263,0.03,1
2022-05-05 13:00:00+00:00,0.0001,-1,2.3160996048072624,0.00125,2.2903496048072625,0.03,1
2022-05-05 14:00:00+00:00,0.0001,-1,4.924698016990812,0.00125,4.898948016990811,0.03,1
2022-05-05 15:00:00+00:00,0.0001,-1,1.3439933508350816,0.00125,1.3182433508350817,0.03,1
2022-05-05 16:00:00+00:00,0.0001,-1,2.1368334405699025,0.00125,2.1110834405699026,0.03,1
2022-05-05 17:00:00+00:00,0.0001,-1,0.911266883101839,0.00125,0.885516883101839,0.03,1
2022-05-05 18:00:00+00:00,0.0001,-1,-1.9426468894862956,0.00125,-1.9683968894862955,0.03,1
2022-05-05 19:00:00+00:00,0.0001,-1,-2.824212995044513,0.00125,-2.849962995044513,0.03,1
