hour,premium,signal,raw_ret,fund_pnl,net_ret,threshold,window
2024-04-30 08:00:00+00:00,-1.52e-06,1,-0.7940330745319244,1.9e-05,-0.8210140745319244,0.07,1
2024-04-30 09:00:00+00:00,-1.52e-06,1,1.2910559114345215,1.9e-05,1.2640749114345216,0.07,1
2024-04-30 10:00:00+00:00,-1.52e-06,1,-2.7363998452527496,1.9e-05,-2.7633808452527497,0.07,1
2024-04-30 11:00:00+00:00,-1.52e-06,1,-1.21652536767112,1.9e-05,-1.24350636767112,0.07,1
2024-05-01 00:00:00+00:00,-6.65e-06,1,1.6327386956736947,8.3125e-05,1.6058218206736947,0.07,1
2024-05-01 01:00:00+00:00,-6.65e-06,1,-2.0441026807141895,8.3125e-05,-2.0710195557141895,0.07,1
2024-05-01 02:00:00+00:00,-6.65e-06,1,0.7278969982924044,8.3125e-05,0.7009801232924043,0.07,1
2024-05-01 03:00:00+00:00,-6.65e-06,1,-0.21497098059392608,8.3125e-05,-0.2418878555939261,0.07,1
2024-05-13 00:00:00+00:00,7.42e-06,1,-2.476529693607533,-9.275e-05,-2.503622443607533,0.07,1
2024-05-13 01:00:00+00:00,7.42e-06,1,-3.8622118668091483,-9.275e-05,-3.8893046168091483,0.07,1
2024-05-13 02:00:00+00:00,7.42e-06,1,0.5998988581679473,-9.275e-05,0.5728061081679473,0.07,1
2024-05-13 03:00:00+00:00,7.42e-06,1,-1.5263116360154632,-9.275e-05,-1.5534043860154632,0.07,1
2024-05-13 08:00:00+00:00,4.39e-06,1,1.085087449617064,-5.4875000000000006e-05,1.058032574617064,0.07,1
2024-05-13 09:00:00+00:00,4.39e-06,1,-1.317193230168259,-5.4875000000000006e-05,-1.3442481051682589,0.07,1
2024-05-13 10:00:00+00:00,4.39e-06,1,0.23892427230346736,-5.4875000000000006e-05,0.21186939730346735,0.07,1
2024-05-13 11:00:00+00:00,4.39e-06,1,2.959223101236651,-5.4875000000000006e-05,2.932168226236651,0.07,1
2024-05-14 20:00:00+00:00,-5.937e-05,1,-0.39201760823694204,0.00101125,-0.41800635823694204,0.07,1
2024-05-14 21:00:00+00:00,-5.937e-05,1,-0.18943122700948908,0.00101125,-0.2154199770094891,0.07,1
2024-05-14 22:00:00+00:00,-5.937e-05,1,-0.41586064090971925,0.00101125,-0.44184939090971925,0.07,1
2024-05-14 23:00:00+00:00,-5.937e-05,1,-0.7500395755877165,0.00101125,-0.7760283255877165,0.07,1
2024-05-15 08:00:00+00:00,1.231e-05,1,-0.023705108561880222,-0.000153875,-0.05085898356188022,0.07,1
2024-05-15 09:00:00+00:00,1.231e-05,1,0.263825622332377,-0.000153875,0.23667174733237697,0.07,1
2024-05-15 10:00:00+00:00,1.231e-05,1,-1.6552947684085857,-0.000153875,-1.6824486434085857,0.07,1
2024-05-15 11:00:00+00:00,1.231e-05,1,3.0174119801141686,-0.000153875,2.9902581051141683,0.07,1
2024-05-16 16:00:00+00:00,-5.937e-05,1,2.239246547635095,0.0007666249999999999,2.213013172635095,0.07,1
2024-05-16 17:00:00+00:00,-5.937e-05,1,0.39892026849179296,0.0007666249999999999,0.37268689349179296,0.07,1
2024-05-16 18:00:00+00:00,-5.937e-05,1,-0.29285697412248024,0.0007666249999999999,-0.31909034912248024,0.07,1
2024-05-16 19:00:00+00:00,-5.937e-05,1,0.010600144878561497,0.0007666249999999999,-0.015633230121438503,0.07,1
2024-05-16 20:00:00+00:00,-5.937e-05,1,0.29987145647589275,0.0007876249999999999,0.27365908147589274,0.07,1
2024-05-16 21:00:00+00:00,-5.937e-05,1,0.06338697961998521,0.0007876249999999999,0.037174604619985216,0.07,1
2024-05-16 22:00:00+00:00,-5.937e-05,1,0.010560591402939192,0.0007876249999999999,-0.015651783597060806,0.07,1
2024-05-16 23:00:00+00:00,-5.937e-05,1,0.6420962044106503,0.0007876249999999999,0.6158838294106502,0.07,1
2024-05-17 20:00:00+00:00,-5.937e-05,1,-0.4403572583481911,0.0007421250000000001,-0.46661513334819116,0.07,1
2024-05-17 21:00:00+00:00,-5.937e-05,1,0.3836458117497321,0.0007421250000000001,0.35738793674973207,0.07,1
2024-05-17 22:00:00+00:00,-5.937e-05,1,-1.0155989297767771,0.0007421250000000001,-1.0418568047767771,0.07,1
2024-05-17 23:00:00+00:00,-5.937e-05,1,0.21466913431635554,0.0007421250000000001,0.18841125931635555,0.07,1
2024-05-18 12:00:00+00:00,1.049e-05,1,-2.717568984300041,-0.000131125,-2.744700109300041,0.07,1
2024-05-18 13:00:00+00:00,1.049e-05,1,-0.9907080541593378,-0.000131125,-1.0178391791593377,0.07,1
2024-05-18 14:00:00+00:00,1.049e-05,1,0.9595311248343132,-0.000131125,0.9323999998343132,0.07,1
2024-05-18 15:00:00+00:00,1.049e-05,1,0.617825594075879,-0.000131125,0.590694469075879,0.07,1
2024-05-20 00:00:00+00:00,2.66e-06,1,-0.08268856415862764,-3.325e-05,-0.10972181415862764,0.07,1
2024-05-20 01:00:00+00:00,2.66e-06,1,1.6215409900371371,-3.325e-05,1.5945077400371372,0.07,1
2024-05-20 02:00:00+00:00,2.66e-06,1,0.36366490094981563,-3.325e-05,0.3366316509498156,0.07,1
2024-05-20 03:00:00+00:00,2.66e-06,1,3.2746221476325053,-3.325e-05,3.247588897632505,0.07,1
2024-05-20 04:00:00+00:00,-5.621e-05,1,0.8040244318565544,0.000702625,0.7777270568565543,0.07,1
2024-05-20 05:00:00+00:00,-5.621e-05,1,-2.2343947365531034,0.000702625,-2.2606921115531033,0.07,1
2024-05-20 06:00:00+00:00,-5.621e-05,1,1.3181872101401937,0.000702625,1.2918898351401937,0.07,1
2024-05-20 07:00:00+00:00,-5.621e-05,1,0.32871420282722674,0.000702625,0.30241682782722673,0.07,1
2024-05-22 17:00:00+00:00,0.00019646,-1,1.50162304687046,0.00245575,1.4770787968704602,0.07,1
