hour,premium,signal,raw_ret,fund_pnl,net_ret,threshold
2026-03-19 04:00:00+00:00,5e-05,-1,0.029040220909760054,0.000625,0.002665220909760055,0.02
2026-03-19 05:00:00+00:00,5e-05,-1,0.1744186488689829,0.000625,0.14804364886898289,0.02
2026-03-19 06:00:00+00:00,5e-05,-1,1.3179279938040178,0.000625,1.291552993804018,0.02
2026-03-19 07:00:00+00:00,5e-05,-1,-0.2355713692459205,0.000625,-0.2619463692459205,0.02
2026-03-20 00:00:00+00:00,5e-05,-1,0.05963029395537712,0.000625,0.033255293955377116,0.02
2026-03-20 01:00:00+00:00,5e-05,-1,-0.6539856840401669,0.000625,-0.6803606840401669,0.02
2026-03-20 02:00:00+00:00,5e-05,-1,0.29673612278020006,0.000625,0.2703611227802,0.02
2026-03-20 03:00:00+00:00,5e-05,-1,-0.7696900046810407,0.000625,-0.7960650046810407,0.02
2026-03-20 20:00:00+00:00,5e-05,-1,-0.7803160842354254,0.000625,-0.8066910842354255,0.02
2026-03-20 21:00:00+00:00,5e-05,-1,-0.0,0.000625,-0.026375,0.02
2026-03-20 22:00:00+00:00,5e-05,-1,0.20948683405485044,0.000625,0.18311183405485043,0.02
2026-03-20 23:00:00+00:00,5e-05,-1,-0.20948683405485768,0.000625,-0.2358618340548577,0.02
2026-03-21 20:00:00+00:00,5e-05,-1,0.7800819636235068,0.000625,0.7537069636235068,0.02
2026-03-21 21:00:00+00:00,5e-05,-1,0.24125464053839896,0.000625,0.21487964053839895,0.02
2026-03-21 22:00:00+00:00,5e-05,-1,3.3152207316900393,0.000625,3.288845731690039,0.02
2026-03-21 23:00:00+00:00,5e-05,-1,0.0624414631589957,0.000625,0.0360664631589957,0.02
2026-03-22 08:00:00+00:00,5e-05,-1,-0.0,0.000625,-0.026375,0.02
2026-03-22 09:00:00+00:00,5e-05,-1,1.1035899487073975,0.000625,1.0772149487073976,0.02
2026-03-22 10:00:00+00:00,5e-05,-1,-0.03170074523298079,0.000625,-0.058075745232980786,0.02
2026-03-22 11:00:00+00:00,5e-05,-1,-0.4111977959003091,0.000625,-0.4375727959003091,0.02
2026-03-24 04:00:00+00:00,5e-05,-1,-0.3661889963208777,0.000625,-0.39256399632087774,0.02
2026-03-24 05:00:00+00:00,5e-05,-1,-0.3041364874771626,0.000625,-0.33051148747716264,0.02
2026-03-24 06:00:00+00:00,5e-05,-1,-0.7563188374025631,0.000625,-0.7826938374025632,0.02
2026-03-24 07:00:00+00:00,5e-05,-1,-0.0,0.000625,-0.026375,0.02
2026-03-24 12:00:00+00:00,5e-05,-1,0.5827343587393782,0.000625,0.5563593587393781,0.02
2026-03-24 13:00:00+00:00,5e-05,-1,0.03076449801221464,0.000625,0.004389498012214641,0.02
2026-03-24 14:00:00+00:00,5e-05,-1,0.33903561524538056,0.000625,0.3126606152453805,0.02
2026-03-24 15:00:00+00:00,5e-05,-1,0.1854141445896331,0.000625,0.15903914458963309,0.02
2026-03-24 20:00:00+00:00,5e-05,-1,-0.33378880937753075,0.000625,-0.3601638093775308,0.02
2026-03-24 21:00:00+00:00,5e-05,-1,-0.24205760684193087,0.000625,-0.2684326068419309,0.02
2026-03-24 22:00:00+00:00,5e-05,-1,-0.3318753988922144,0.000625,-0.35825039889221444,0.02
2026-03-24 23:00:00+00:00,5e-05,-1,-0.03011594662122137,0.000625,-0.056490946621221366,0.02
2026-03-25 08:00:00+00:00,5e-05,-1,-0.0,0.000625,-0.026375,0.02
2026-03-25 09:00:00+00:00,5e-05,-1,-0.30012027328971835,0.000625,-0.3264952732897184,0.02
2026-03-25 10:00:00+00:00,5e-05,-1,-0.44849828505996403,0.000625,-0.47487328505996407,0.02
2026-03-25 11:00:00+00:00,5e-05,-1,-0.20861280103189214,0.000625,-0.23498780103189215,0.02
2026-03-25 12:00:00+00:00,5e-05,-1,0.6870826133655272,0.000625,0.6607076133655272,0.02
2026-03-25 13:00:00+00:00,5e-05,-1,0.7220247973487132,0.000625,0.6956497973487131,0.02
2026-03-25 15:00:00+00:00,5e-05,-1,-0.150852344190217,0.000625,-0.17722734419021702,0.02
2026-03-25 16:00:00+00:00,5e-05,-1,-0.0,0.000625,-0.026375,0.02
2026-03-25 17:00:00+00:00,5e-05,-1,0.09048409605442626,0.000625,0.06410909605442626,0.02
2026-03-25 18:00:00+00:00,5e-05,-1,-0.09048409605442108,0.000625,-0.11685909605442107,0.02
2026-03-25 19:00:00+00:00,5e-05,-1,0.635114791769011,0.000625,0.6087397917690109,0.02
2026-03-26 00:00:00+00:00,5e-05,-1,0.030307622599012672,0.000625,0.003932622599012673,0.02
2026-03-26 01:00:00+00:00,5e-05,-1,0.5471138267479856,0.000625,0.5207388267479856,0.02
2026-03-26 02:00:00+00:00,5e-05,-1,0.519481687710391,0.000625,0.493106687710391,0.02
2026-03-26 03:00:00+00:00,5e-05,-1,0.1839926922007294,0.000625,0.15761769220072938,0.02
2026-03-26 08:00:00+00:00,5e-05,-1,0.781620361952012,0.000625,0.755245361952012,0.02
2026-03-26 09:00:00+00:00,5e-05,-1,0.34585791432017365,0.000625,0.3194829143201736,0.02
2026-03-26 10:00:00+00:00,5e-05,-1,0.12606367884446856,0.000625,0.09968867884446855,0.02
2026-03-26 11:00:00+00:00,5e-05,-1,-0.5660392471710355,0.000625,-0.5924142471710355,0.02
2026-03-28 16:00:00+00:00,-0.0001229663,1,-0.365996083148706,0.001600375,-0.39139570814870606,0.02
2026-03-28 17:00:00+00:00,-0.0001229663,1,0.49875415110391885,0.001600375,0.4733545261039188,0.02
2026-03-28 18:00:00+00:00,-0.0001229663,1,-0.1327580679552025,0.001600375,-0.15815769295520252,0.02
2026-03-28 19:00:00+00:00,-0.0001229663,1,0.3315652904938171,0.001600375,0.3061656654938171,0.02
2026-03-28 20:00:00+00:00,5e-05,-1,1.1318363170562018,0.000625,1.105461317056202,0.02
