coin,window,is_start,is_end,oos_start,oos_end,best_threshold,is_sharpe,is_total_ret,is_win_rate,is_n,oos_n,oos_sharpe,oos_win_rate,oos_total_ret,oos_gross_ret,oos_fund_pnl,oos_max_dd,oos_p_value,oos_long_net,oos_short_net,oos_long_sharpe,oos_short_sharpe
SUI,5,2023-04-26 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-10-23 00:00:00+00:00,0.02,5.160293940033848,75.90175243418258,0.5088161209068011,1191,280,-5.656445113914413,0.4642857142857143,-12.628792092531947,-5.566915092531944,0.4981230000000001,-0.2146649638235455,0.3127596258783878,-6.428017578633621,-6.200774513898326,-18.640942277984276,-3.316468133666833
SUI,6,2023-08-24 00:00:00+00:00,2023-12-22 00:00:00+00:00,2023-12-22 00:00:00+00:00,2024-02-20 00:00:00+00:00,0.07,-2.991024517864522,-15.693133622885432,0.4771084337349398,415,1151,2.3251459088603843,0.4900086880973067,43.71349625157996,75.28020225157996,-0.48970599999999986,-0.38833513223609584,0.3995033038679833,49.841558352064865,-6.128062100484909,2.9353739926187803,-3.364560717082794
SUI,7,2023-12-22 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-06-19 00:00:00+00:00,0.02,10.890161699959489,28.354897111638397,0.5703125,128,64,-7.410300073799579,0.421875,-3.903511993396993,-2.4009409933969943,0.22542900000000002,-0.07219165728718734,0.5287693650469386,-0.7483909426922388,-3.1551210507047536,-2.770441342848961,-12.12911662341396
SUI,8,2024-04-20 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-10-17 00:00:00+00:00,0.1,4.835854863334607,63.24265481937272,0.49765625,1280,552,-2.5137098276135323,0.4927536231884058,-20.000623680079634,-6.203041680079615,1.1064180000000001,-0.47586094052535766,0.5282990680045729,14.57446867349924,-34.57509235357886,6.816760104364447,-5.950842603079636
SUI,9,2024-08-18 00:00:00+00:00,2024-12-16 00:00:00+00:00,2024-12-16 00:00:00+00:00,2025-02-14 00:00:00+00:00,0.1,5.274677486553859,47.54624544663639,0.5248713550600344,583,687,-1.0484152177147104,0.4890829694323144,-10.589491951248467,6.66556804875154,1.29394,-0.2823510491999507,0.7691505280884517,-17.74094237859379,7.151450427345331,-6.135148421513932,1.019916813818237
SUI,10,2024-12-16 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-06-14 00:00:00+00:00,0.03,0.8304262679160487,9.016721399509002,0.49806451612903224,775,535,-1.0794986162880915,0.5009345794392523,-7.1094186109045765,6.55180038909544,0.7837810000000001,-0.33208370728527026,0.7897445398651846,-5.0586691565202635,-2.050749454384299,-7.718648620759792,-0.3457103324966413
SUI,11,2025-04-15 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-10-12 00:00:00+00:00,0.07,-0.3997246476279585,-6.114331228612741,0.4912663755458515,1374,757,2.3808024801488097,0.48877146631439894,21.81315250247441,41.29936462747443,0.952787875,-0.22365675603681093,0.48422190461642295,-8.669629775954041,30.482782278428456,-9.712004269854615,3.7113681187624152
SUI,12,2025-08-13 00:00:00+00:00,2025-12-11 00:00:00+00:00,2025-12-11 00:00:00+00:00,2026-02-09 00:00:00+00:00,0.03,4.140311159618454,48.19992645569351,0.4961915125136017,919,335,-1.4778121698850006,0.48059701492537316,-4.03157857895568,4.589509171044324,0.4239122499999999,-0.21793139893163643,0.7727648679409527,-3.1025356807057336,-0.9290428982499457,-8.088856235113402,-0.3957594480906962
