coin,window,is_start,is_end,oos_start,oos_end,best_threshold,is_sharpe,is_total_ret,is_win_rate,is_n,oos_n,oos_sharpe,oos_win_rate,oos_total_ret,oos_gross_ret,oos_fund_pnl,oos_max_dd,oos_p_value,oos_long_net,oos_short_net,oos_long_sharpe,oos_short_sharpe
ETC,1,2022-01-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,0.03,2.226123745509466,29.696730641775176,0.5013698630136987,1095,264,1.6297270316832226,0.4772727272727273,6.79224076475893,13.355474764758938,0.5647660000000001,-0.149437607953227,0.7774601492331961,4.872314504703283,1.9199262600556515,4.72267410358957,0.6227862600181303
ETC,2,2022-05-01 00:00:00+00:00,2022-08-29 00:00:00+00:00,2022-08-29 00:00:00+00:00,2022-10-28 00:00:00+00:00,0.1,-2.826498993133395,-49.792639717624674,0.4710351377018044,1053,295,5.463582044500721,0.46779661016949153,23.254433380606024,28.592261005606026,2.6271723750000007,-0.09684414078682602,0.31686865488774724,3.6073583634025956,19.647075017203434,2.0102324297540624,8.167014886191259
ETC,3,2022-08-29 00:00:00+00:00,2022-12-27 00:00:00+00:00,2022-12-27 00:00:00+00:00,2023-02-25 00:00:00+00:00,0.03,5.422325318812401,12.61704624382753,0.4479166666666667,192,96,3.7139345531252457,0.4895833333333333,4.825619563397323,7.096422563397327,0.3211969999999999,-0.1216384725544154,0.6982997216119001,9.36213342201225,-4.536513858614923,15.34299428270522,-6.620600637466583
ETC,4,2022-12-27 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-06-25 00:00:00+00:00,0.03,10.841404165333334,25.56623509323498,0.5340909090909091,176,1022,-0.31812379640749966,0.4765166340508806,-2.4745617953790213,23.839658204620992,1.2797800000000001,-0.2305236785156609,0.9134935492464454,1.9417992988828214,-4.4163610942618465,6.8151868915190015,-0.5899353942227459
ETC,5,2023-04-26 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-10-23 00:00:00+00:00,0.1,1.8084430196091648,27.42734421854027,0.4871277132761232,1981,599,0.7401180282891038,0.4941569282136895,2.0684185698312683,17.53446456983127,0.706954,-0.09600695041749276,0.8466047304427636,2.1574445173741035,-0.08902594754283832,3.2672935002273125,-0.04167427904126486
ETC,6,2023-08-24 00:00:00+00:00,2023-12-22 00:00:00+00:00,2023-12-22 00:00:00+00:00,2024-02-20 00:00:00+00:00,0.02,7.429395978357065,9.286885668378298,0.47619047619047616,126,64,2.9828067415844197,0.578125,1.6202385493493763,3.0962065493493753,0.2520319999999999,-0.04862041362257931,0.7995885303415103,1.347942436341063,0.2722961130083137,5.357217640010379,0.9256653463972047
ETC,7,2023-12-22 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-06-19 00:00:00+00:00,0.02,1.0600716098151766,2.325449012916921,0.4921875,128,64,-9.521932451511049,0.546875,-6.7979300719101055,-5.2173380719101035,0.14740799999999998,-0.114302385396138,0.4187764719394985,-8.40248349263173,1.6045534207216263,-17.255586106893375,12.708885175013137
ETC,8,2024-04-20 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-10-17 00:00:00+00:00,0.02,17.52483277717622,21.157677464037086,0.53125,128,702,-5.566734764691608,0.4672364672364672,-22.656569202103352,-4.605206202103333,0.9026369999999999,-0.23875868502462985,0.11550973396806423,-2.907750136519141,-19.748819065584208,-13.203057344542735,-5.130558877944869
ETC,9,2024-08-18 00:00:00+00:00,2024-12-16 00:00:00+00:00,2024-12-16 00:00:00+00:00,2025-02-14 00:00:00+00:00,0.03,4.38907241699072,10.097917151533412,0.5,176,1150,1.49436373094227,0.5034782608695653,17.284281258054126,46.883878258054146,1.4504029999999999,-0.20510922664023537,0.5883068610905017,1.4197678947010957,15.864513363353032,2.501506319815478,1.4425191671292765
ETC,10,2024-12-16 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-06-14 00:00:00+00:00,0.1,2.3763812297289815,41.8661060179038,0.5100598151169113,1839,719,-2.3435239242800585,0.5034770514603616,-13.24242704409069,5.240120955909317,0.9304519999999998,-0.2874673666056879,0.5021812495644187,-1.2581941641608192,-11.984232879929873,-1.1322422924429114,-2.6380336630595496
ETC,11,2025-04-15 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-10-12 00:00:00+00:00,0.02,-2.9558632636165645,-39.30047018974836,0.49930843706777317,1446,791,4.723985138699937,0.5031605562579013,27.172841163784057,47.43535716378406,1.0944839999999996,-0.11738608843645496,0.15613888429003447,8.027190532055084,19.14565063172897,20.439349654450016,3.613961487210196
ETC,12,2025-08-13 00:00:00+00:00,2025-12-11 00:00:00+00:00,2025-12-11 00:00:00+00:00,2026-02-09 00:00:00+00:00,0.05,6.6400247207519625,59.62742656743147,0.5076507650765076,1111,455,-6.0681578773022995,0.47912087912087914,-19.371199302749666,-7.730898302749663,0.6446990000000001,-0.24903871380215004,0.1673560298561692,-5.1017470919905765,-14.269452210759091,-8.083247875526629,-5.60404841844783
