hour,premium,signal,raw_ret,fund_pnl,net_ret,threshold,window
2024-02-29 04:00:00+00:00,0.00065532,-1,-0.37619486094141386,0.0081915,-0.39500336094141386,0.03,1
2024-02-29 05:00:00+00:00,0.00065532,-1,0.6025929653412577,0.0081915,0.5837844653412577,0.03,1
2024-02-29 06:00:00+00:00,0.00065532,-1,0.31782092586867233,0.0081915,0.2990124258686723,0.03,1
2024-02-29 07:00:00+00:00,0.00065532,-1,-1.6387647803303071,0.0081915,-1.6575732803303072,0.03,1
2024-03-01 20:00:00+00:00,0.00065222,-1,-0.2851356325184619,0.00815275,-0.30398288251846195,0.03,1
2024-03-01 21:00:00+00:00,0.00065222,-1,-0.5678437254632833,0.00815275,-0.5866909754632833,0.03,1
2024-03-01 22:00:00+00:00,0.00065222,-1,-0.35698386862250386,0.00815275,-0.3758311186225039,0.03,1
2024-03-01 23:00:00+00:00,0.00065222,-1,0.9398144805881662,0.00815275,0.9209672305881662,0.03,1
2024-03-02 04:00:00+00:00,0.00075139,-1,-0.2397723312668386,0.009392375,-0.2573799562668386,0.03,1
2024-03-02 05:00:00+00:00,0.00075139,-1,-1.234675409299356,0.009392375,-1.2522830342993558,0.03,1
2024-03-02 06:00:00+00:00,0.00075139,-1,-1.8601781338737078,0.009392375,-1.8777857588737077,0.03,1
2024-03-02 07:00:00+00:00,0.00075139,-1,0.5967560100937006,0.009392375,0.5791483850937006,0.03,1
2024-03-02 08:00:00+00:00,0.00069835,-1,2.2738319086959806,0.008729375000000001,2.2555612836959806,0.03,1
2024-03-02 09:00:00+00:00,0.00069835,-1,0.02987303980393412,0.008729375000000001,0.011602414803934123,0.03,1
2024-03-02 10:00:00+00:00,0.00069835,-1,-0.26853663757702617,0.008729375000000001,-0.2868072625770262,0.03,1
2024-03-02 11:00:00+00:00,0.00069835,-1,-0.7421735120789219,0.008729375000000001,-0.7604441370789219,0.03,1
2024-03-02 12:00:00+00:00,0.00083517,-1,-0.16254159470723686,0.010733000000000001,-0.17880859470723687,0.03,1
2024-03-02 13:00:00+00:00,0.00083517,-1,1.1433787045592467,0.010733000000000001,1.127111704559247,0.03,1
2024-03-02 14:00:00+00:00,0.00083517,-1,0.7344708127729416,0.010733000000000001,0.7182038127729415,0.03,1
2024-03-02 15:00:00+00:00,0.00083517,-1,-0.9880319897169662,0.010733000000000001,-1.004298989716966,0.03,1
2024-03-02 20:00:00+00:00,0.00069967,-1,-0.5000010416705619,0.008745875,-0.5182551666705619,0.03,1
2024-03-02 21:00:00+00:00,0.00069967,-1,0.3085288570962615,0.008745875,0.2902747320962615,0.03,1
2024-03-02 22:00:00+00:00,0.00069967,-1,-1.504226975428607,0.008745875,-1.522481100428607,0.03,1
2024-03-02 23:00:00+00:00,0.00069967,-1,1.0491135127828324,0.008745875,1.0308593877828325,0.03,1
2024-03-03 00:00:00+00:00,0.00074019,-1,-2.473905550935301,0.009252375,-2.4916531759353013,0.03,1
2024-03-03 01:00:00+00:00,0.00074019,-1,0.5157604556249044,0.009252375,0.4980128306249043,0.03,1
2024-03-03 02:00:00+00:00,0.00074019,-1,-1.680711831638119,0.009252375,-1.698459456638119,0.03,1
2024-03-03 03:00:00+00:00,0.00074019,-1,-1.2771207194809402,0.009252375,-1.2948683444809401,0.03,1
2024-03-03 04:00:00+00:00,0.00083517,-1,1.6592056674395599,0.010439625,1.64264529243956,0.03,1
2024-03-03 05:00:00+00:00,0.00083517,-1,1.528710390415995,0.010439625,1.5121500154159953,0.03,1
2024-03-03 06:00:00+00:00,0.00083517,-1,5.033901634759371,0.010439625,5.0173412597593705,0.03,1
2024-03-03 07:00:00+00:00,0.00083517,-1,-1.3534041168847135,0.010439625,-1.3699644918847134,0.03,1
2024-03-05 04:00:00+00:00,0.00068457,-1,-2.6602629746037527,0.008557125,-2.678705849603753,0.03,1
2024-03-05 05:00:00+00:00,0.00068457,-1,-0.2727687704261043,0.008557125,-0.29121164542610434,0.03,1
2024-03-05 06:00:00+00:00,0.00068457,-1,1.8943432345247413,0.008557125,1.8759003595247414,0.03,1
2024-03-05 07:00:00+00:00,0.00068457,-1,-1.2567215205971194,0.008557125,-1.2751643955971192,0.03,1
2024-03-05 08:00:00+00:00,0.00083517,-1,-1.4364804351641458,0.011606625,-1.4518738101641457,0.03,1
2024-03-05 09:00:00+00:00,0.00083517,-1,-0.5837902965878039,0.011606625,-0.599183671587804,0.03,1
2024-03-05 10:00:00+00:00,0.00083517,-1,0.8242834231711781,0.011606625,0.808890048171178,0.03,1
2024-03-05 11:00:00+00:00,0.00083517,-1,-1.760188642759429,0.011606625,-1.775582017759429,0.03,1
2024-03-05 12:00:00+00:00,0.00083517,-1,1.174996785965563,0.01376575,1.161762535965563,0.03,1
2024-03-05 13:00:00+00:00,0.00083517,-1,1.4466798417753264,0.01376575,1.4334455917753264,0.03,1
2024-03-05 14:00:00+00:00,0.00083517,-1,0.6854036427792256,0.01376575,0.6721693927792256,0.03,1
2024-03-05 15:00:00+00:00,0.00083517,-1,-0.5334971879263695,0.01376575,-0.5467314379263695,0.03,1
2024-03-16 04:00:00+00:00,-0.00150849,1,-1.1493330932393753,0.020997125,-1.1553359682393751,0.03,1
2024-03-16 05:00:00+00:00,-0.00150849,1,4.7391195680362825,0.020997125,4.7331166930362825,0.03,1
2024-03-16 06:00:00+00:00,-0.00150849,1,-1.5696971326526092,0.020997125,-1.575700007652609,0.03,1
2024-03-16 07:00:00+00:00,-0.00150849,1,-2.6934925602787145,0.020997125,-2.6994954352787146,0.03,1
2024-03-16 08:00:00+00:00,-0.00133863,1,1.1168227945051594,0.016732874999999998,1.1065556695051595,0.03,1
2024-03-16 09:00:00+00:00,-0.00133863,1,-0.4071482665788194,0.016732874999999998,-0.41741539157881946,0.03,1
2024-03-16 10:00:00+00:00,-0.00133863,1,-2.088753109471164,0.016732874999999998,-2.099020234471164,0.03,1
2024-03-16 11:00:00+00:00,-0.00133863,1,-3.3320729636624233,0.016732874999999998,-3.3423400886624233,0.03,1
2024-03-17 00:00:00+00:00,-0.00131982,1,6.122505684351117,0.01649775,6.112003434351117,0.03,1
2024-03-17 01:00:00+00:00,-0.00131982,1,-1.9494952171246014,0.01649775,-1.9599974671246012,0.03,1
2024-03-17 02:00:00+00:00,-0.00131982,1,-0.853033422946182,0.01649775,-0.863535672946182,0.03,1
2024-03-17 03:00:00+00:00,-0.00131982,1,-1.8308078494506201,0.01649775,-1.84131009945062,0.03,1
2024-03-17 04:00:00+00:00,-0.00133429,1,1.2242552417583372,0.016678625,1.2139338667583373,0.03,1
2024-03-17 05:00:00+00:00,-0.00133429,1,-2.5676669927711817,0.016678625,-2.577988367771182,0.03,1
2024-03-17 06:00:00+00:00,-0.00133429,1,-0.30216225125973634,0.016678625,-0.31248362625973636,0.03,1
2024-03-17 07:00:00+00:00,-0.00133429,1,2.4023012046985115,0.016678625,2.3919798296985113,0.03,1
2024-03-17 12:00:00+00:00,-0.0008446,1,1.0643250842585648,0.010557500000000001,1.0478825842585648,0.03,1
2024-03-17 13:00:00+00:00,-0.0008446,1,5.110170515427951,0.010557500000000001,5.093728015427951,0.03,1
2024-03-17 14:00:00+00:00,-0.0008446,1,0.7254709176034546,0.010557500000000001,0.7090284176034546,0.03,1
2024-03-17 15:00:00+00:00,-0.0008446,1,-1.157519979097173,0.010557500000000001,-1.173962479097173,0.03,1
2024-03-17 16:00:00+00:00,-0.0014187,1,-0.7436414587186081,0.01773375,-0.7529077087186081,0.03,1
2024-03-17 17:00:00+00:00,-0.0014187,1,0.7051466069296171,0.01773375,0.695880356929617,0.03,1
2024-03-17 18:00:00+00:00,-0.0014187,1,1.2910809089651711,0.01773375,1.2818146589651713,0.03,1
2024-03-17 19:00:00+00:00,-0.0014187,1,-1.2718316307536683,0.01773375,-1.2810978807536682,0.03,1
2024-03-17 20:00:00+00:00,-0.00150849,1,1.0149455183151215,0.022455875,1.0104013933151215,0.03,1
2024-03-17 21:00:00+00:00,-0.00150849,1,1.4845906441146617,0.022455875,1.4800465191146617,0.03,1
2024-03-17 22:00:00+00:00,-0.00150849,1,3.050425997086255,0.022455875,3.045881872086255,0.03,1
2024-03-17 23:00:00+00:00,-0.00150849,1,-3.426578405996688,0.022455875,-3.431122530996688,0.03,1
2024-03-18 00:00:00+00:00,-0.00149531,1,0.9470744519837139,0.018691375,0.9387658269837138,0.03,1
2024-03-18 01:00:00+00:00,-0.00149531,1,0.01866368053198443,0.018691375,0.010355055531984427,0.03,1
2024-03-18 02:00:00+00:00,-0.00149531,1,1.2518129065825054,0.018691375,1.2435042815825055,0.03,1
2024-03-18 03:00:00+00:00,-0.00149531,1,-0.34153353916632384,0.018691375,-0.34984216416632385,0.03,1
2024-03-18 04:00:00+00:00,-0.00129026,1,0.06470398155215375,0.01612825,0.05383223155215375,0.03,1
2024-03-18 05:00:00+00:00,-0.00129026,1,-2.1198907500281092,0.01612825,-2.1307625000281094,0.03,1
2024-03-18 06:00:00+00:00,-0.00129026,1,0.28275230902179477,0.01612825,0.27188055902179475,0.03,1
2024-03-18 07:00:00+00:00,-0.00129026,1,-0.06590406490007317,0.01612825,-0.07677581490007317,0.03,1
2024-03-18 08:00:00+00:00,-0.00150849,1,1.4863559453214863,0.020517874999999998,1.4798738203214863,0.03,1
2024-03-18 09:00:00+00:00,-0.00150849,1,-0.6516500438561815,0.020517874999999998,-0.6581321688561815,0.03,1
2024-03-18 10:00:00+00:00,-0.00150849,1,0.5866757992164242,0.020517874999999998,0.5801936742164242,0.03,1
2024-03-18 11:00:00+00:00,-0.00150849,1,1.9584131637911748,0.020517874999999998,1.9519310387911748,0.03,1
2024-04-12 20:00:00+00:00,-0.00150849,1,1.7522350692202493,0.018856124999999998,1.7440911942202493,0.03,1
2024-04-12 21:00:00+00:00,-0.00150849,1,-0.2795466954799189,0.018856124999999998,-0.2876905704799189,0.03,1
2024-04-12 22:00:00+00:00,-0.00150849,1,-0.12449425822058822,0.018856124999999998,-0.13263813322058823,0.03,1
2024-04-12 23:00:00+00:00,-0.00150849,1,-0.6718250407503934,0.018856124999999998,-0.6799689157503934,0.03,1
