hour,premium,signal,raw_ret,fund_pnl,net_ret,threshold
2026-02-17 00:00:00+00:00,0.0001,-1,0.22750673374007802,0.00125,0.20175673374007802,0.02
2026-02-17 01:00:00+00:00,0.0001,-1,-0.6055381824782697,0.00125,-0.6312881824782698,0.02
2026-02-17 02:00:00+00:00,0.0001,-1,0.6380814381757935,0.00125,0.6123314381757935,0.02
2026-02-17 03:00:00+00:00,0.0001,-1,-0.0759177955230786,0.00125,-0.1016677955230786,0.02
2026-02-17 04:00:00+00:00,0.0001,-1,0.685343993368638,0.00125,0.659593993368638,0.02
2026-02-17 05:00:00+00:00,0.0001,-1,-0.3486981848545984,0.00125,-0.37444818485459846,0.02
2026-02-17 06:00:00+00:00,0.0001,-1,-0.010877250241885116,0.00125,-0.036627250241885116,0.02
2026-02-17 07:00:00+00:00,0.0001,-1,0.47972180966063865,0.00125,0.4539718096606386,0.02
2026-02-18 00:00:00+00:00,0.0001,-1,0.05493600094212241,0.00125,0.029186000942122408,0.02
2026-02-18 01:00:00+00:00,0.0001,-1,-0.08788312111276553,0.00125,-0.11363312111276552,0.02
2026-02-18 02:00:00+00:00,0.0001,-1,0.02196354061101081,0.00125,-0.003786459388989187,0.02
2026-02-18 03:00:00+00:00,0.0001,-1,0.36309661941752025,0.00125,0.3373466194175202,0.02
2026-02-18 04:00:00+00:00,0.0001,-1,0.43082088176897343,0.00125,0.4050708817689734,0.02
2026-02-18 05:00:00+00:00,0.0001,-1,-0.2542983293120581,0.00125,-0.28004832931205814,0.02
2026-02-18 06:00:00+00:00,0.0001,-1,-0.748078296131453,0.00125,-0.7738282961314531,0.02
2026-02-18 07:00:00+00:00,0.0001,-1,-0.12048854078283326,0.00125,-0.14623854078283327,0.02
2026-02-20 08:00:00+00:00,0.0001,-1,-0.7026676119478992,0.00125,-0.7284176119478992,0.02
2026-02-20 09:00:00+00:00,0.0001,-1,0.5725721903034664,0.00125,0.5468221903034663,0.02
2026-02-20 10:00:00+00:00,0.0001,-1,1.2976573783039322,0.00125,1.2719073783039323,0.02
2026-02-20 11:00:00+00:00,0.0001,-1,0.14278655839090837,0.00125,0.11703655839090837,0.02
2026-02-20 12:00:00+00:00,0.0001,-1,1.3945992489850643,0.00125,1.3688492489850643,0.02
2026-02-20 13:00:00+00:00,0.0001,-1,-0.5335717416570457,0.00125,-0.5593217416570457,0.02
2026-02-20 14:00:00+00:00,0.0001,-1,-1.6820052452986334,0.00125,-1.7077552452986333,0.02
2026-02-20 15:00:00+00:00,0.0001,-1,0.1854984437198141,0.00125,0.15974844371981411,0.02
2026-02-21 00:00:00+00:00,0.0001,-1,-0.19689352236993196,0.00125,-0.22264352236993196,0.02
2026-02-21 01:00:00+00:00,0.0001,-1,-0.35996766439693934,0.00125,-0.3857176643969394,0.02
2026-02-21 02:00:00+00:00,0.0001,-1,0.2507496544138961,0.00125,0.22499965441389605,0.02
2026-02-21 03:00:00+00:00,0.0001,-1,-0.1418053141908605,0.00125,-0.1675553141908605,0.02
2026-02-21 04:00:00+00:00,0.0001,-1,-0.27213863200401006,0.00125,-0.2978886320040101,0.02
2026-02-21 05:00:00+00:00,0.0001,-1,0.5887500652191261,0.00125,0.563000065219126,0.02
2026-02-21 06:00:00+00:00,0.0001,-1,-0.04373018545692391,0.00125,-0.06948018545692392,0.02
2026-02-21 07:00:00+00:00,0.0001,-1,-0.6210861697651512,0.00125,-0.6468361697651512,0.02
2026-02-21 08:00:00+00:00,0.0001,-1,-0.22785232013690834,0.00125,-0.25360232013690837,0.02
2026-02-21 09:00:00+00:00,0.0001,-1,-0.3354074012659966,0.00125,-0.36115740126599666,0.02
2026-02-21 10:00:00+00:00,0.0001,-1,-0.15110634283719415,0.00125,-0.17685634283719415,0.02
2026-02-21 11:00:00+00:00,0.0001,-1,-0.0970193575805264,0.00125,-0.1227693575805264,0.02
2026-02-21 12:00:00+00:00,0.0001,-1,-0.6872141294270427,0.00125,-0.7129641294270428,0.02
2026-02-21 13:00:00+00:00,0.0001,-1,-0.05349023930692846,0.00125,-0.07924023930692846,0.02
2026-02-21 14:00:00+00:00,0.0001,-1,0.7514796502486499,0.00125,0.7257296502486499,0.02
2026-02-21 15:00:00+00:00,0.0001,-1,0.6378055241104909,0.00125,0.6120555241104908,0.02
2026-02-21 16:00:00+00:00,0.0001,-1,-0.4436516501556079,0.00125,-0.469401650155608,0.02
2026-02-21 17:00:00+00:00,0.0001,-1,-0.4094392100649988,0.00125,-0.43518921006499883,0.02
